id,nome,telefone,cep,cidade,logradouro,bairro,campus,data_nascimento,numero_casa,lider,pastor,sexo
1,Kanya,740-825-9985,50458-860,Banatsko Veliko Selo,Rutledge,Périgny,Serbia,21/09/2023,9966,Kanya Bordiss,Kanya Verni,Female
2,Even,418-182-8089,76267-151,Berezanka,Kenwood,Huixian Chengguanzhen,Ukraine,07/02/2024,2576,Even Jakeman,Even Clayworth,Male
3,Bo,852-484-9832,0068-0019,La Quiaca,Buell,Estrada,Argentina,08/12/2023,9,Bo Baggalley,Bo Milnes,Male
4,Bevan,914-263-7145,0179-0112,Pregrada,Dayton,Ramon’,Croatia,23/01/2024,91,Bevan Parkman,Bevan Bottby,Male
5,Tito,552-769-0503,65785-162,Sulyukta,Village,Saltsjöbaden,Kyrgyzstan,01/10/2023,0546,Tito Caville,Tito Kenewel,Male
6,Wilfrid,977-149-2108,24987-095,Santa Marta de Penaguião,Carberry,Wringinsari,Portugal,05/06/2023,271,Wilfrid Bompass,Wilfrid Willmore,Male
7,Bartram,460-936-6693,45865-386,Cambuga,Pierstorff,Uddevalla,Philippines,19/02/2024,096,Bartram Cook,Bartram Trotton,Male
8,Fanechka,284-901-0021,0703-6801,Layo,Summerview,Sing Buri,Peru,05/10/2023,541,Fanechka McCart,Fanechka Dorber,Female
9,Paloma,661-411-7473,49999-804,Chilly-Mazarin,Meadow Ridge,Düsseldorf,France,18/07/2023,209,Paloma Ennion,Paloma Duinkerk,Female
10,Anthia,775-906-8246,64720-128,Venustiano Carranza,Schmedeman,Ban Fang,Mexico,02/07/2023,73,Anthia Lees,Anthia Khosa,Female
11,Georgette,659-603-8053,54973-3075,Baoshan,Burrows,Oliveira de Frades,China,21/02/2024,4817,Georgette Elrick,Georgette Whaplington,Female
12,Regan,739-740-9387,50563-303,Camagüey,Norway Maple,Liulin,Cuba,21/03/2024,8755,Regan Emerine,Regan Stephens,Female
13,Marissa,236-130-7503,54868-1387,Bologna,Pepper Wood,Ukhta,Italy,18/10/2023,78,Marissa Tompkiss,Marissa Klulisek,Female
14,Bartholomeo,908-714-0446,53877-005,Boavista,Ridgeview,Loja,Portugal,14/02/2024,020,Bartholomeo Shevell,Bartholomeo Aubery,Male
15,Jobina,524-131-4140,0363-0344,Baculin,Ramsey,Ichnya,Philippines,28/08/2023,81,Jobina Bryenton,Jobina Baruch,Female
16,Itch,627-668-2548,49738-188,Hoàn Kiếm,Londonderry,Zonghan,Vietnam,29/01/2024,1026,Itch Sutherington,Itch Prest,Male
17,Prisca,313-859-0529,60905-0402,Nakhon Luang,Tomscot,Głubczyce,Thailand,20/04/2024,2648,Prisca Sixsmith,Prisca Curedell,Female
18,Burk,725-307-1832,61715-069,Mayakovski,Lakeland,Hepu,Armenia,18/04/2024,330,Burk Penniell,Burk Pechell,Male
19,Clair,927-579-0896,34690-6001,Pingyi,Buhler,Guataquí,China,18/09/2023,97,Clair Bragge,Clair Muscat,Male
20,Tommy,388-704-0002,41250-025,Woodford Hill,Northport,Starcevica,Dominica,29/06/2023,668,Tommy Drayn,Tommy Smithe,Male
21,Maurise,434-226-1792,42291-631,Vacha,Eastlawn,Qarāwul,Russia,08/08/2023,85263,Maurise Bauldry,Maurise Simcoe,Male
22,Dianna,875-697-0241,54868-5168,Seoam,Hauk,Ariquemes,Indonesia,15/07/2023,8,Dianna Sowood,Dianna Franchioni,Female
23,Brandon,970-442-3932,15054-0211,Chrást,Pierstorff,Tabanan,Czech Republic,10/04/2024,24003,Brandon Reiach,Brandon Kenwin,Male
24,Meghan,846-733-5044,33261-408,Linjiang,Karstens,Ngilengan,China,28/12/2023,6,Meghan Moir,Meghan Muge,Female
25,Katerine,339-791-7543,54569-0349,Hongguang,Novick,Boston,China,23/04/2023,6670,Katerine Scottesmoor,Katerine Clyde,Female
26,Cally,976-523-0720,0026-3787,Gunungpeundeuy,Warrior,Lorut,Indonesia,21/04/2024,6,Cally Burbudge,Cally Gutans,Female
27,Tawnya,207-358-0873,43275-170,Marseille,Warrior,Uherce Mineralne,France,17/12/2023,4345,Tawnya Timberlake,Tawnya Geill,Female
28,Luce,444-745-7702,54868-0229,Bondo,Eastwood,Haicheng,Democratic Republic of the Congo,27/08/2023,63261,Luce Cleynaert,Luce McHarry,Male
29,Gladys,512-294-8961,60505-2529,Jiekou,Dottie,Bailadores,China,28/03/2024,188,Gladys Burnes,Gladys Toynbee,Female
